Account address, Show boosts, Notify on new posts, Languages
filmgirl.bsky.social@bsky.brid.gy, true, false,
antfu.me@bsky.brid.gy, true, false,
sarah11918.rainsberger.ca@bsky.brid.gy, true, false,
developit.dev@bsky.brid.gy, true, false,
sarahjeong.bsky.social@bsky.brid.gy, true, false,
jay.bsky.team@bsky.brid.gy, true, false,
b0rk.jvns.ca@bsky.brid.gy, true, false,
seldo.com@bsky.brid.gy, true, false,
nerdy.dev@bsky.brid.gy, true, false,
wongmjane.com@bsky.brid.gy, true, false,
samuel.bsky.team@bsky.brid.gy, true, false,
laurenshof.online@bsky.brid.gy, true, false,
bell.bz@bsky.brid.gy, true, false,
matrix.org@bsky.brid.gy, true, false,
timbl.bsky.social@bsky.brid.gy, true, false,
cheeaun.com@bsky.brid.gy, true, false,
edavis.dev@bsky.brid.gy, true, false,
tylersticka.com@bsky.brid.gy, true, false,
sjoy.lol@bsky.brid.gy, true, false,
ohhelloana.blog@bsky.brid.gy, true, false,
arathorn.net@bsky.brid.gy, true, false,
jamesravey.me@bsky.brid.gy, true, false,
edent.tel@bsky.brid.gy, true, false,
jensimmons.bsky.social@bsky.brid.gy, true, false,
gri.gs@bsky.brid.gy, true, false,
btp.dev@bsky.brid.gy, true, false,
jacobhands.com@bsky.brid.gy, true, false,
malstrom.me@bsky.brid.gy, true, false,
shuuji3.xyz@bsky.brid.gy, true, false,
intenttoship.dev@bsky.brid.gy, true, false,
element.io@bsky.brid.gy, true, false,
e18e.dev@bsky.brid.gy, true, false,
danabra.mov@bsky.brid.gy, true, false,
heydonworks.bsky.social@bsky.brid.gy, true, false,
danielroe.dev@bsky.brid.gy, true, false,
patak.dev@bsky.brid.gy, true, false,
